shortname,longname,lat,long,country
Fermilab,Fermi National Accelerator Laboratory,41.840944,-88.279393,US
Chicago,University of Chicago,41.788536,-87.598960,US
UIUC,University of Illinois,41.865848,-87.645245,US
NCSA,National Center for Supercomputing Applications,40.115045,-88.224302,US
LBNL,Lawrence Berkeley National Laboratory,37.875526,-122.252252,US
NOAO,National Optical Astronomy Observatory,32.233629,-110.947035,US
Michigan,The University of Michigan,42.277434,-83.737921,US
UCL,University College London,51.524913,-0.134222,UK
Cambridge,University of Cambridge,52.204058,0.114445,UK
Edinburgh,University of Edinburgh,55.943689,-3.188652,UK
Portsmouth,University of Portsmouth,50.795173,-1.093700,UK
Sussex,University of Sussex,50.865308,-0.087105,UK
Nottingham,University of Nottingham,52.938345,-1.195040,UK
IEEC,Instituto de Ciencias del Espacio,41.500557,2.109943,Spain
IFAE,Institut de Fisica d’Altes Energies,41.501718,2.109790,Spain
CIEMAT,Centro de Investigaciones Energeticas Medioambientales y Tecnologicas,40.454024,-3.728798,Spain
Pennsylvania,University of Pennsylvania,39.951870,-75.191273,US
OSU,Ohio State University,40.007013,-83.029297,US
ANL,Argonne National Laboratory,41.718273,-87.979115,US
TAMU,Texas A&M University,30.618623,-96.336905,US
Santa Cruz,University of California Santa Cruz,36.987875,-122.058442,US
SLAC,SLAC National Accelerator Laboratory,37.419749,-122.202513,US
Stanford,Stanford University,37.427389,-122.169730,US
ETH,ETH Zurich,47.377526,8.550217,Switzerland
AAO,Australian Astronomical Observatory,-31.275612,149.067399,Australia
ANU,Australian National University,-35.278253,149.122766,Australia
CASS,CSIRO Astronomy & Space Science,-33.795924,151.142758,Australia
Macquarie,Macquarie University,-33.774339,151.112090,Australia
Melbourne,University of Melbourne,-37.798162,144.960637,Australia
Monash,Monash University,-37.906828,145.133152,Australia
UQ,University of Queensland,-27.497674,153.013712,Australia
Swinburne,Swinburne University of Technology,-37.822235,145.038987,Australia
Sydney,Sydney University,-33.888283,151.187190,Australia
North Dakota,University of North Dakota,47.922869,-97.076877,US
Western Cape,University of the Western Cape,-33.933511,18.627711,South Africa
LMU,Ludwig Maximilian University of Munich,48.150082,11.580183,Germany
MIAPP,Munich Institute for Astro- and Particle Physics,48.263670,11.673901,Germany
Observatório Nacional,Observatório Nacional,-22.894922,-43.225678,Brazil
LNCC,Laboratório Nacional de Computação Científica,-22.529871,-43.216951,Brazil
RNP,Rede Nacional de Ensino e Pesquisa,-22.957253,-43.176666,Brazil
Cerro Tololo,Cerro Tololo Observatory,-30.163135,-70.802282,Chile